Time resolution is 1 ps
Configuration completed                      0 ns
1. Accuracy: 0.000000, Detected number: 2, Expected: 0007
2. Accuracy: 50.000000, Detected number: 2, Expected: 0002
3. Accuracy: 33.333333, Detected number: 7, Expected: 0001
4. Accuracy: 25.000000, Detected number: 9, Expected: 0000
5. Accuracy: 20.000000, Detected number: 8, Expected: 0004
6. Accuracy: 16.666667, Detected number: 2, Expected: 0001
7. Accuracy: 14.285714, Detected number: 8, Expected: 0004
8. Accuracy: 12.500000, Detected number: 8, Expected: 0009
9. Accuracy: 11.111111, Detected number: 2, Expected: 0005
10. Accuracy: 10.000000, Detected number: 8, Expected: 0009
11. Accuracy: 9.090909, Detected number: 2, Expected: 0000
12. Accuracy: 8.333333, Detected number: 8, Expected: 0006
13. Accuracy: 7.692308, Detected number: 2, Expected: 0009
14. Accuracy: 7.142857, Detected number: 8, Expected: 0000
15. Accuracy: 6.666667, Detected number: 2, Expected: 0001
16. Accuracy: 6.250000, Detected number: 8, Expected: 0005
17. Accuracy: 5.882353, Detected number: 2, Expected: 0009
18. Accuracy: 5.555556, Detected number: 2, Expected: 0007
19. Accuracy: 5.263158, Detected number: 0, Expected: 0003
20. Accuracy: 5.000000, Detected number: 1, Expected: 0004
21. Accuracy: 4.761905, Detected number: 0, Expected: 0009
22. Accuracy: 4.545455, Detected number: 9, Expected: 0006
23. Accuracy: 4.347826, Detected number: 8, Expected: 0006
24. Accuracy: 4.166667, Detected number: 2, Expected: 0005
25. Accuracy: 4.000000, Detected number: 5, Expected: 0004
26. Accuracy: 3.846154, Detected number: 8, Expected: 0000
27. Accuracy: 3.703704, Detected number: 8, Expected: 0007
28. Accuracy: 7.142857, Detected number: 4, Expected: 0004
29. Accuracy: 6.896552, Detected number: 8, Expected: 0000
30. Accuracy: 6.666667, Detected number: 2, Expected: 0001
31. Accuracy: 6.451613, Detected number: 2, Expected: 0003
32. Accuracy: 6.250000, Detected number: 8, Expected: 0001
33. Accuracy: 6.060606, Detected number: 1, Expected: 0003
34. Accuracy: 5.882353, Detected number: 9, Expected: 0004
35. Accuracy: 5.714286, Detected number: 2, Expected: 0007
36. Accuracy: 8.333333, Detected number: 2, Expected: 0002
37. Accuracy: 8.108108, Detected number: 2, Expected: 0007
38. Accuracy: 7.894737, Detected number: 2, Expected: 0001
39. Accuracy: 10.256410, Detected number: 2, Expected: 0002
40. Accuracy: 10.000000, Detected number: 5, Expected: 0001
41. Accuracy: 9.756098, Detected number: 4, Expected: 0001
42. Accuracy: 9.523810, Detected number: 9, Expected: 0007
43. Accuracy: 9.302326, Detected number: 2, Expected: 0004
44. Accuracy: 11.363636, Detected number: 2, Expected: 0002
45. Accuracy: 11.111111, Detected number: 2, Expected: 0003
46. Accuracy: 10.869565, Detected number: 9, Expected: 0005
47. Accuracy: 10.638298, Detected number: 3, Expected: 0001
48. Accuracy: 10.416667, Detected number: 8, Expected: 0002
49. Accuracy: 10.204082, Detected number: 2, Expected: 0004
50. Accuracy: 10.000000, Detected number: 2, Expected: 0004
